title,company,description,tags,salary_min,salary_max,location,date,source
Director of Content Marketing &amp; Media,Luxury Presence,"<p><span style=""font-size: 16px""><b>Luxury Presence </b>is building the AI growth platform for real estate. Backed by Bessemer Venture Partners and other top investors, we're a Series C company on track to hit $100M in annual recurring revenue in the next six months. More than 87,000 real estate professionals, including over </span><span style=""font-size: 16px;"">30% of the WSJ Real Trends top 100 agents in the United States, use us to run and grow their business.</span></p><p><br></p><p>
</p><h2><strong>Hereâs why we are excited about this opportunity:</strong></h2>
<p>Luxury Presence is the leading growth platform in real estate, and we are investing in the content and media engine to match. We are building a first-of-its-kind media arm inside a high-growth, venture-backed SaaS company at a moment when brand, distribution, and industry authority are becoming the most durable competitive advantages in technology. This role is at the center of that investment.</p>
<p>As <strong>the Director of Content Marketing &amp; Media</strong>, you will own the content operation that powers our inbound pipeline and builds our audience. You will lead SEO-driven content strategy, AI search discoverability, multi-format editorial production, video content, and audience growth across social and email. You will define our editorial voice, shape the content formats that drive Luxury Presenceâs next chapter of growth, and use AI to accelerate production and scale output. Few roles offer this blend of creative ownership, commercial accountability, and industry-wide influence. With success, you will lay the foundation for a broader media ecosystem investment in 2027 and beyond.</p>
<p>This is not a brand marketing role. You will be measured on organic traffic, MQLs, pipeline contribution, and audience growth. You need to be equally comfortable setting editorial standards and understanding why a piece of content converts. If you have built content engines that directly drove pipeline at scale, and you want to do it again inside a company with real momentum, this role is built for you.</p>
<h2><strong>Hereâs what youâll own:</strong></h2>
<p></p>\n<p></p><p><br></p><b>Organic Growth and SEO Strategy</b><div>
<ul>
<li>
<p>Own the content strategy that drives organic search traffic, MQLs, and pipeline contribution.</p>
</li>
<li>
<p>Partner with the SEO team to align content production with keyword strategy, topic clusters, and technical SEO priorities.</p>
</li>
<li>
<p>Lead the companyâs content approach to AI search surfaces (Google AI Overviews, ChatGPT, Perplexity), building workflows that increase Luxury Presenceâs citation and mention rates across LLM-driven discovery.</p>
</li>
<li>
<p>Use data to evaluate content performance and make strategic calls on where to invest editorial resources.</p>
</li>
</ul>
</div><p><br></p><b>Multi-Format Content Production</b><div>
<ul>
<li>
<p>Build and run a structured content operation that ships on schedule across all formats: blog, newsletter, webinars, white papers, lead magnets, research reports, CEO OpEds, keynote scripts, and event content.</p>
</li>
<li>
<p>Establish production calendars, editorial workflows, quality standards, and review cycles that maintain a high bar at increasing volume.</p>
</li>
<li>
<p>Expand the newsletterâs reach, engagement, and pipeline contribution as a core distribution channel.</p>
</li>
<li>
<p>Oversee webinar and event content production that showcases Luxury Presenceâs leadership and generates demand.</p>
</li>
<li>
<p>Direct the production of thought leadership content, including CEO-bylined pieces for top-tier publications, conference keynotes, and panel preparation.</p>
</li>
</ul>
</div><p><br></p><b>Audience Growth, Social Media, and Video</b><div>
<ul>
<li>
<p>Own audience development strategy across YouTube, TikTok, Instagram, LinkedIn, and Facebook, with clear growth targets for followers, subscribers, and engagement rates on each platform.</p>
</li>
<li>
<p>Set platform-specific content strategies that account for algorithmic behavior, format trends, and audience preferences on each channel.</p>
</li>
<li>
<p>Oversee video content production, including Luxury Presenceâs YouTube shows, providing creative and editorial direction on pacing, packaging, titles, and thumbnails to maximize reach and retention.</p>
</li>
<li>
<p>Build and manage the derivative content pipeline, turning long-form content into high-performing short-form social assets optimized for each platform.</p>
</li>
<li>
<p>Track and report on audience growth, engagement metrics, and content performance across all social channels, using data to inform programming and distribution decisions.</p>
</li>
<li>
<p>Experiment with new formats, features, and emerging platforms to stay ahead of how audiences consume content.</p>
</li>
</ul>
</div><p><br></p><b>Team, AI Production, and Contributor Network</b><div>
<ul>
<li>
<p>Build and lead a content team spanning editorial, video production, and social media.</p>
</li>
<li>
<p>Expand the existing contributor and freelancer network to increase capacity for blog production, expert interviews, and specialized content.</p>
</li>
<li>
<p>Integrate AI tools into content production workflows to accelerate ideation, drafting, optimization, repurposing, and distribution at a pace and scale that would not be possible with a traditional content operation.</p>
</li>
<li>
<p>Establish clear operating rhythms, reporting cadences, and accountability structures across the team.</p>
</li>
</ul>
</div><p><br></p><b>Talent Network and Distribution</b><div>
<ul>
<li>
<p>Build and manage the PresenceÂ® Talent Network, a roster of top-producing agents and creators who serve as on-camera talent and content collaborators.</p>
</li>
<li>
<p>Coordinate talent communications, earned media placements, and influencer activity in partnership with the PR function.</p>
</li>
<li>
<p>Amplify content through coordinated distribution across owned, earned, and paid channels.</p>
</li>
</ul>
<h2><strong>Hereâs what weâre looking for:</strong></h2>
</div><p><br></p><b>Your Experience</b><div>
<ul>
<li>
<p>7 to 12 years in content marketing, media, editorial, or demand generation environments.</p>
</li>
<li>
<p>Proven experience building content engines that drove measurable organic traffic, MQLs, and pipeline. You can point to specific numbers and explain what you did to move them.</p>
</li>
<li>
<p>Track record growing social media audiences with platform-native content across YouTube, TikTok, Instagram, LinkedIn, and Facebook. You understand what drives subscriber growth, engagement, and retention on each platform.</p>
</li>
<li>
<p>Strong working knowledge of SEO strategy, keyword research, and how search algorithms affect content decisions. Familiarity with AI search discoverability is a significant plus.</p>
</li>
<li>
<p>Experience using AI tools to accelerate content production, from ideation and drafting through optimization and repurposing. You have a clear point of view on how AI changes the economics of content operations.</p>
</li>
<li>
<p>Experience producing or overseeing video content, ideally YouTube or recurring show formats. You do not need to be a hands-on editor, but you must be able to provide creative and editorial direction.</p>
</li>
<li>
<p>Track record of managing multi-format editorial operations: blogs, newsletters, webinars, lead magnets, research reports, and event content.</p>
</li>
<li>
<p>Experience building and managing content teams that include a mix of full-time staff, freelancers, and contributors.</p>
</li>
<li>
<p>A portfolio or body of work that demonstrates strong editorial judgment, contemporary taste, and results.</p>
</li>
</ul>
</div><p><br></p><b>Your Mindset</b><div>
<ul>
<li>
<p>You think about content in terms of pipeline and revenue, not just pageviews and engagement.</p>
</li>
<li>
<p>You are equally comfortable setting editorial standards and understanding funnel conversion.</p>
</li>
<li>
<p>You are AI-forward. You actively use AI tools in your own work and see AI-accelerated content production as a core competitive advantage, not a nice-to-have.</p>
</li>
<li>
<p>You think like an audience builder. You care about subscriber growth, platform algorithms, and what makes someone follow, not just what makes someone click.</p>
</li>
<li>
<p>You build systems and processes that scale. You do not rely on heroics to hit deadlines.</p>
</li>
<li>
<p>You thrive in fast-moving, ambiguous environments and maintain velocity even when priorities shift.</p>
</li>
<li>
<p>You take full ownership of outcomes, even when execution depends on contributors, freelancers, and cross-functional partners.</p>
</li>
</ul>
</div><p><br></p><p></p>\n<p><span style=""font-size: 24px""><b>Join us in shaping the future of real estate</b></span></p><p><br></p><p><span style=""font-size: 16px"">The real estate industry is in the midst of a seismic shift, and the future belongs to those who break new ground. As one of the fastest-growing companies in the proptech and marketing sectors, Luxury Presence challenges the status quo of what technology can do for real estate agents, leaders, and brokerages.</span></p><p><br></p><p><span style=""font-size: 16px"">We're a team of agile and tenacious innovators working collaboratively to drive the industry forward. Together, we build game-changing products that empower modern real estate entrepreneurs to dominate their markets. From award-winning web design to agile SEO solutions to cutting-edge AI tools, we deliver tech that anticipates market shifts and keeps our clients ahead of their competition.</span></p><p><br></p><p><span style=""font-size: 16px"">Founded in 2016 by Stanford Business School alum Malte Kramer, Luxury Presence has grown to a global team ranked on the Inc. 5000 fastest-growing companies list three years in a row. We're backed by world-class investors, including Bessemer Venture Partners, NextEquity Partners, Toba Capital, and Switch Ventures, and have raised $89 million to date.</span></p><p><br></p><p><span style=""font-size: 16px"">More than 18,000 real estate businesses rely on our platform, including 30% of the Wall Street Journal RealTrends top agents and teams. Additionally, many of the industry's most powerful brokerages rely on Luxury Presence as a trusted business partner.</span></p><p><br></p><p><span style=""font-size: 16px"">Every year since 2020, Luxury Presence has ranked on BuiltIn's Best Place to Work lists. HousingWire named our founder and CEO a 2024 Tech Trendsetter, we've received several Tech100 Awards, and we just scored an Inman Innovation Award for Best AI-Powered Platform.</span></p><p><br></p><p><b><span style=""font-size: 16px"">Luxury Presence is an Equal Opportunity Employer.</span></b><span style=""font-size: 16px""> All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin.</span></p><br/><br/>Please mention the word **TRUST** and tag RNDkuMzYuOTEuMTQ3 when applying to show you read the job post completely (#RNDkuMzYuOTEuMTQ3). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.","director, design, saas, founder, ceo, technical, growth, web, video, investment, c, seo, strategy, lead, content, marketing, full-time, digital nomad",0.0,0.0,"New York, NY",2026-04-15T08:01:00+00:00,RemoteOK
Banking Full Stack Software Developer TSCM 43657,Eleks,"<p>
</p><p>ELEKS&nbsp;<a href=""https://careers.eleks.com/about/software-engineering-development-office/"">Software Engineering and Development Office </a>is looking for a Senior Full-Stack (.NET + Angular) Developer in Poland, Croatia or Ukraine.</p>
<h4>ABOUT PROJECT</h4>
<p>Our client is a US-based leading national services and online solutions provider to community banks and credit unions.</p>
<p></p>\n<p></p><p><br></p><b>REQUIREMENTS</b><div>
<ul>
<li>7+ years of professional software engineering experience with a strong focus on .NET</li>
<li>Proven expertise in ASP.NET MVC, .NET Core / .NET 6+, and building production-grade web applications and RESTful APIs</li>
<li>Strong JavaScript skills, specifically with the Angular framework</li>
<li>Hands-on experience with Azure, including Functions, App Services, Data Factory, Logic Apps, and Fabric</li>
<li>SQL experience, including writing and performance tuning of complex queries and stored procedures will be a plus</li>
<li>Strong understanding of application and data security principles, including encryption, authentication/authorization, and role-based access control (RBAC)</li>
<li>Experience with Python or the ability to quickly become proficient</li>
<li>Nice to have: experience with Docker</li>
</ul>
</div><p><br></p><b>RESPONSIBILITIES</b><div>
<ul>
<li>Design, develop, and maintain reliable software in line with technical requirements</li>
<li>Analyze requirements, and independently estimate and set up tasksâ acceptance criteria</li>
<li>Evaluate and coordinate tasksâ deadlines with the Technical Leader or Project Manager</li>
<li>Apply the best software development practices and coding standards to produce high-quality and performant solutions</li>
<li>Stay up-to-date with modern technology and optionally obtain professional certifications</li>
<li>Participate as a trainer or a trainee in various learning programs outside the main project</li>
</ul>
</div><p><br></p><b>WHAT YOU WILL GET WITH ELEKS</b><div>
<ul>
<li>Close cooperation with a customer</li>
<li>Challenging tasks</li>
<li>Competence development</li>
<li>Ability to influence project technologies</li>
<li>Team of professionals</li>
<li>Dynamic environment with low level of bureaucracy</li>
</ul>
</div><p><br></p><p></p>\n<br/><br/>Please mention the word **STAINLESS** and tag RNDkuMzYuOTEuMTQ3 when applying to show you read the job post completely (#RNDkuMzYuOTEuMTQ3). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.","developer, software, security, python, trainer, full-stack, technical, web, javascript, banking, angular, leader, senior, engineering, digital nomad",0.0,0.0,Poland,2026-04-15T08:00:32+00:00,RemoteOK
Manager DashMart Supply Chain Strategy & Analytics,DoorDash USA,"<div><h2><strong>About the Team</strong></h2>
<p>Our New Verticals Strategy &amp; Operations team is re-inventing the way consumers think about grocery, convenience, alcohol and retail delivery through both our first-party and third-party operations businesses. DashMarts are our first-party offering designed to provide on-demand deliveries through a new type of convenience. Inside DashMarts we sell household essentials, groceries, brand-name favorites, local favorites and so much more! We have sites all over the country and are growing our geographic footprint, services we offer and scaling our existing sites today!&nbsp;</p>
<h2><strong>About the Role</strong></h2>
<p>In this role, you would lead the supply chain optimization flywheel for our DashMart business. This role would own the team responsible for inbound forecast, outbound forecast, and order frequency management, and would be accountable for ensuring these workstreams operate as one coordinated system. The mandate is to improve how demand is forecasted, how that demand translates into ordering and delivery patterns, and how inbound volume is distributed in a way that sites can receive effectively without creating unnecessary peaks, skips, backlog, or instability. This leader would be central to driving strategic vision, cross-functional prioritization, and execution rigor across the forecast-to-receive flywheel. Weâre looking for someone who leads with data, moves quickly from insight to action, and brings a strong ownership mentality.</p>
<p>You will report into a Senior Manager on our DashMart Strategy &amp; Operations team and lead a small team. We oper</div><br/><br/>Please mention the word **INNOCUOUS** and tag RNDkuMzYuOTEuMTQ3 when applying to show you read the job post completely (#RNDkuMzYuOTEuMTQ3). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.","manager, leader, strategy, lead, senior, operations, analytics",0.0,0.0,"New York, NY; San Francisco, CA; Los Angeles, CA; Chicago, IL; Seattle, WA; Tempe, AZ; Washington D.C.",2026-04-15T08:00:25+00:00,RemoteOK
Principal Specialist Counsel Financial Crime & Compliance,Agoda,"<div><p><strong>About Agoda</strong></p><p>At Agoda, we bridge the world through travel. Our story began in 2005, when two lifelong friends and entrepreneurs, driven by their passion for travel, launched Agoda to make it easier for everyone to explore the world.Â Â </p><p>Â </p><p>Today, we are part of Booking Holdings [NASDAQ: BKNG], with a diverse team of over 7,000 people from 90 countries, working together in offices around the globe. Every day, we connect people to destinations and experiences, with our great deals across our millions of hotels and holiday properties, flights, and experiences worldwide.</p><p>Â </p><p>No two days are the same at Agoda. Data and technology are at the heart of our culture, fueling our curiosity and innovation. If you're ready to begin your best journey and help build travel for the world, join us.</p></div><div><p><strong><span data-contrast=""auto"">The Opportunity</span></strong><span data-ccp-props=""{}"">&nbsp;</span></p><p><span data-contrast=""auto"">Agodaâs Financial Crime Compliance team, within the broader Compliance &amp; Ethics function,Â is responsible forÂ preventing and detecting the full spectrum of financial crime, sanctions, and regulatory risks across aÂ fast-growing, techÂ driven global travel business.</span><span data-ccp-props=""{}"">&nbsp;</span></p><p><span data-contrast=""auto"">Within Booking Holdings, a new, standâalone B2B entity willÂ consolidateÂ the B2B businesses of Booking.com, Priceline and Agoda into a single global division. The new division will bring together our strategic partnerships, affiliate &amp; API distribution, corporate and wholesale travel and other B2B commercial channels into one integrated platform serving airlines, travel management companies, OTAs, financial institutions,Â platformsÂ and other strategic partners. You will work closely with colleagues at Booking Holdings Inc., Booking Holdings Financial Services, and sister brands, as well as internal partners across FinTech, Product, Fraud, Legal, Intern</span></p></div><br/><br/>Please mention the word **RESPITE** and tag RNDkuMzYuOTEuMTQ3 when applying to show you read the job post completely (#RNDkuMzYuOTEuMTQ3). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.","travel, financial, api, management, non tech",0.0,0.0,Bangkok,2026-04-15T08:00:17+00:00,RemoteOK
Privacy Principal Counsel,Agoda,"<p><strong>About Agoda</strong></p><p>At Agoda, we bridge the world through travel. Our story began in 2005, when two lifelong friends and entrepreneurs, driven by their passion for travel, launched Agoda to make it easier for everyone to explore the world.Â Â </p><p>Â </p><p>Today, we are part of Booking Holdings [NASDAQ: BKNG], with a diverse team of over 7,000 people from 90 countries, working together in offices around the globe. Every day, we connect people to destinations and experiences, with our great deals across our millions of hotels and holiday properties, flights, and experiences worldwide.</p><p>Â </p><p>No two days are the same at Agoda. Data and technology are at the heart of our culture, fueling our curiosity and innovation. If you're ready to begin your best journey and help build travel for the world, join us.</p><p><strong>The Opportunity</strong>Â </p><p>Within Booking Holdings, a new, standâalone B2B entity willÂ consolidateÂ the B2B businesses of Booking.com, Priceline and Agoda into a single global divisionÂ (â<strong>NewÂ B2B Business</strong>â). TheÂ New B2B BusinessÂ will bring together our strategic partnerships, affiliate &amp; API distribution, corporate and wholesale travel and other B2B commercial channels into one integrated platform serving airlines, travel management companies, OTAs, financial institutions,Â platformsÂ and other strategic partners. You will work closely with colleagues at Booking Holdings Inc., Booking Holdings Financial Services, and sister brands, as well as internal partners across FinTech, Product, Fraud, Legal, Internal Audit, People, and Supply, to launch and support theÂ New B2BÂ Business.</p><p>Agoda will support theÂ New B2BÂ BusinessÂ across the relevant legal domains. This includes providing the necessary data privacy support in respect of<br/><br/>Please mention the word **SPELLBINDING** and tag RNDkuMzYuOTEuMTQ3 when applying to show you read the job post completely (#RNDkuMzYuOTEuMTQ3). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.","support, travel, financial, api, management, legal, non tech",0.0,0.0,Bangkok,2026-04-15T08:00:07+00:00,RemoteOK
Software Engineer Payment Operations,Wingspan,"<p><strong>Who We Are</strong></p>
<p>Wingspan is the first payroll platform designed specifically for independent contractors and their businesses. We simplify onboarding, payments, and compliance for flexible workforces of all sizes, from solo operators to large enterprises.&nbsp;</p>
<p>We're a Series B startup based in NYC with distributed teams in the USA, Poland, and the UK, and backed by Andreessen Horowitz (a16z), Touring Capital, and a strong network of operators, including the CEOs and founders of Warby Parker, Harry's, Allbirds, Invision, and Flatiron Health.</p>
<p><strong>About the Role</strong></p>
<p>As a Software Engineer on the Payment Operations team, you will be responsible for the execution layer that ensures every dollar on Wingspan's platform is accounted for, reconciled, and moved accurately on time. You will have direct access to production systems, a mandate to identify what's broken or inefficient, and the authority to engineer the fix.&nbsp;</p>
<p>This role reports to the Head of Payments &amp; Compliance Operations and is based in Warsaw, Poland, with a remote work model.</p>
<p><strong>What You'll Do</strong></p>
<ul>
<li>Design, develop, and ship internal systems and automation that eliminate entire categories of operational toil, owning every problem end-to-end from initial diagnosis to permanent fix</li>
<li>Build and maintain reconciliation infrastructure that keeps Wingspan's ledger, bank records, and platform transaction data in continuous alignment, automatically and at scale</li>
<li>Develop monitoring and alerting systems that surface funding health issues and payment anomalies in real time, ensuring problems are caught and resolved before they ever reach a customer</li>
<li>Collaborate with Engineering, Product, and Finance to identify recurring operational patterns and translate them into platform-level improvements that raise the reliability ceiling for the entire system</li>
<li>Contribute to the growth of our engineering culture by sharing knowledge, participating in code reviews, and proactively identifying opportunities to improve how the team builds, observes, and automates</li>
</ul>
<p><strong>Qualifications &amp; Requirements</strong></p>
<ul>
<li>3+ years of experience in a software engineering or engineering-adjacent role with exposure to payment systems, backend services, or data pipelines</li>
<li>Strong SQL skills, comfortable writing standalone scripts and using AI tools such as Claude Code, Open AI, etc&nbsp;</li>
<li>Familiarity with RESTful APIs and backend services, with Node.js an<br/><br/>Please mention the word **FREE** and tag RNDkuMzYuOTEuMTQ3 when applying to show you read the job post completely (#RNDkuMzYuOTEuMTQ3). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.","software, growth, code, payroll, finance, bank, node.js, operations, operational, reliability, health, engineer, engineering, backend",0.0,0.0,Warsaw,2026-04-15T00:01:21+00:00,RemoteOK
Senior Manager Associate Director Strategy & Operations,Natera,"<p><span style=""color: #000000;""><strong>About Natera Therapeutics &amp; Innovations</strong></span></p>
<p><span style=""color: #000000;"">Nateraâs Therapeutics &amp; Innovations group is at the forefront of applying AI, genomics, and multimodal data to transform precision medicine. From building genomic foundation models to developing predictive AI platforms, our mission is to accelerate biomarker discovery, improve clinical trial design, and enable novel personalized therapeutics.</span></p>
<p><span style=""color: #000000;"">We are seeking a highly adaptable <strong>Senior Manager/Associate Director of Strategy &amp; Operations </strong>to serve as a central support function across the Therapeutics &amp; Innovations team. This individual will act as a force multiplier, </span><span style=""color: #0e0e0e;"">helping drive alignment, execution, and visibility across a diverse set of initiatives spanning partnerships, strategy, market intelligence, and cross-functional programs</span><span style=""color: #000000;"">.</span></p>
<p><span style=""color: #000000;"">This is a generalist role for someone who thrives in ambiguity, can operate across multiple workstreams, and is comfortable stepping in wherever support is needed to keep the organization moving forward.</span></p>
<p>&nbsp;</p>
<p><span style=""color: #000000;""><strong>Key Responsibilities</strong></span></p>
<ul>
<li style=""color: #000000 !important;"">
<p><span style=""color: #000000;""><strong>Cross-Functional Program Support: </strong></span><span style=""color: #0e0e0e;"">Support leadership in coordinating across R&amp;D, Product, Medical Affairs, and Commercial by tracking key initiatives, maintaining alignment, and ensuring follow-through across workstreams</span><span style=""color: #000000;"">.<br></span></p>
</li>
<li style=""color: #000000 !important;"">
<p><span style=""color: #000000;""><strong>Market &amp; Competitive Intelligence:</strong> Monitor industry trends, competitive dynamics, and emerging opportunities in AI, genomics, and therapeutics to inform internal decision-making.<br></span></p>
</li>
<li style=""color: #000000 !important;"">
<p><span style=""color: #000000;""><strong>Business Operations:</strong> Establish and maintain operating rhythms, including tracking priorities, managing deliverables, and providing visibility into progress across the team.<br></span></p>
</li>
<li style=""color: #000000 !important;"">
<p><span style=""color: #000000;""><strong>Strategic Support: </strong>Support the development and execution of strategic initiatives, including internal planning, external opportunities, and leadership-driven special projects.<br></span></p>
</li>
<li style=""color: #000000 !important;"">
<p><span style=""color: #0e0e0e;""><strong>External Engagement Support:</strong> Support conference and stakeholder eng<br/><br/>Please mention the word **BONUS** and tag RNDkuMzYuOTEuMTQ3 when applying to show you read the job post completely (#RNDkuMzYuOTEuMTQ3). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.","director, manager, support, strategy, senior, operations",0.0,0.0,US Remote,2026-04-15T00:01:11+00:00,RemoteOK
Industry Marketing Manager,Gong.io,"Gong harnesses the power of AI to transform how revenue teams win. The Gong Revenue AI Operating System unifies data, insights, and workflows into a single, trusted system that observes, guides, and acts alongside the world's most successful revenue teams. Powered by the Gong Revenue Graph, AI-powered intelligence, specialized agents, and trusted applications, Gong helps more than 5,000 companies around the world deeply understand their teams and customers, automate critical sales workflows, and close more deals with less effort. For more information, visit www.gong.io.

At Gong, you will join a company built on innovative products, ambitious goals, and passionate people. We are shaping the future of revenue intelligence and we want people who are excited to build what comes next. You will work with a team that dreams big, moves fast, and cares deeply about the craft and about each other. Here, transparency and trust are core to how we operate, and every person has the opportunity to make a visible impact. If you want to grow, stretch, and do work that truly matters, Gong is the place to do the best work of your career.

In this role, you will own pipeline creation and acceleration for Gong's Industry Expansion team across Financial Services, Healthcare, and Manufacturing. You'll design and execute industry-specific revenue marketing and demand generation programs that blend demand generation, ABM, and field marketing to deliver maximum pipeline impact. 

As a key marketing partner to the VP of Industry Expansion and their leadership team, you'll build industry demand generation marketing plans spanning SMB, Mid-Market, and Enterprise segments, with an Enterprise-first focus<br/><br/>Please mention the word **ECONOMICAL** and tag RNDkuMzYuOTEuMTQ3 when applying to show you read the job post completely (#RNDkuMzYuOTEuMTQ3). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.","manager, design, system, financial, marketing, sales, digital nomad",0.0,0.0,Austin | Chicago | New York City | Salt Lake City | San Francisco,2026-04-15T00:01:00+00:00,RemoteOK
Senior Project Manager,Unlock Health,"<p><strong>The Role</strong></p>
<p>The Senior Project Manager drives the execution of integrated marketing engagementsâbringing strategy, creative, media, and data together into work that is delivered seamlessly and at a high standard.</p>
<p>In this role, you ensure complex programs remain organized, on track, and moving forward by managing timelines, coordinating workflows, and connecting strategy to execution. You focus on the details that matterâensuring work is delivered as planned, with consistency and quality.</p>
<p>You build strong working relationships across clients and internal teams, developing a clear understanding of brand, business goals, and project needs. Success in this role requires the ability to navigate complexity, bring structure to ambiguity, and take ownership of delivering high-quality work.</p>
<p><strong>&nbsp;<br></strong><strong>You Will</strong></p>
<ul>
<li>Lead integrated project execution across strategy, creative, media, and dataâensuring work is aligned, coordinated, and delivered at a high standard</li>
<li>Build deep knowledge of your clients, their brands, and the healthcare landscape to better guide execution and decision-making</li>
<li>Partner closely with Client Experience (CX) and cross-functional teams to translate strategic direction into clear, actionable plans</li>
<li>Develop and own project plans, timelines, and workflowsâensuring delivery is on time, on scope, and on budget</li>
<li>Manage large-scale, complex programs with multiple workstreams, dependencies, and stakeholders</li>
<li>Act as a central connector across teams, ensuring alignment and momentum from kickoff through delivery</li>
<li>Oversee client financials, including budgets, forecasting, invoicing, and overall financial health of engagements</li>
<li>Proactively identify risks, resolve challenges, and adapt plans to keep work moving forward</li>
<li>Uphold and evolve project management best practicesâdriving consistency, efficiency, and quality across eng<br/><br/>Please mention the word **FERVOR** and tag RNDkuMzYuOTEuMTQ3 when applying to show you read the job post completely (#RNDkuMzYuOTEuMTQ3). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.","manager, financial, strategy, management, senior, marketing, medical, health, healthcare, non tech",0.0,0.0,"Chicago, Illinois, United States; Nashville, Tennessee, United States; Remote",2026-04-15T00:00:51+00:00,RemoteOK
Manager Growth Marketing & Content,Neighborhoods.com,"<p><strong>About the Role </strong></p>
<p>Neighborhoods.com and 55places.com are built on a simple but powerful belief: the neighborhood and community you belong to matters more than the house you live in. Our content is the bridge between that belief and the people searching for their next home and community â and we're looking for a leader to make that bridge stronger, smarter, and more impactful than ever. As Sr. Manager of Growth Marketing &amp; Content, you will lead the evolution of our content organization from a production-oriented team into a modern, revenue-connected content engine. You will own the strategy and execution across personalized email campaigns, blog and social content, regional and market-based content, and community creation and publishing â with a clear mandate to drive measurable impact at every stage of the customer journey from MQL engagement through to sale. This is a builder's role. You will inherit a team and a body of work with real foundations, and you will reimagine how that work is done â modernizing tooling, removing workflow chokepoints, reducing over-reliance on legacy processes, and developing the team around you. You will work closely with numerous growth leaders at the company including the Director of Sales and the Director of Customer Engagement, and you will have a dotted-line relationship with the lifecycle email and HubSpot execution team to ensure creative content strategy flows seamlessly into deployment and personalization. This role is 100% remote. This is a W-2 salary position with benefits. Candidates must be eligible to work in the US for any employer; we are unable to sponsor visas.&nbsp;</p>
<p><strong>What You'll Own </strong></p>
<p><span style=""text-decoration: underline;"">Growth Marketing &amp; Campaign Content </span></p>
<p>- Lead the development of personalized email campaign content that includes geo and stage based personalization to drive customer conversion, working in close partnership with the customer growth, HubSpot execution team and Customer Engagement team</p>
<p>- B<br/><br/>Please mention the word **STYLIZED** and tag RNDkuMzYuOTEuMTQ3 when applying to show you read the job post completely (#RNDkuMzYuOTEuMTQ3). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.","growth, manager, director, leader, strategy, lead, content, marketing, sales",0.0,0.0,,2026-04-15T00:00:42+00:00,RemoteOK
